min_cluster_size,min_samples,cluster_selection_method,cluster_count,clustered_fraction,noise_fraction,silhouette_score
81,27,leaf,18,0.49398034398034396,0.506019656019656,0.6111485958099365
35,11,leaf,35,0.3899262899262899,0.6100737100737101,0.586037814617157
81,16,leaf,18,0.5154791154791155,0.4845208845208845,0.5839341282844543
45,10,leaf,31,0.39299754299754297,0.607002457002457,0.5793079733848572
81,10,leaf,18,0.48992628992628995,0.51007371007371,0.578548789024353
30,10,leaf,40,0.37776412776412777,0.6222358722358723,0.5772978663444519
45,15,leaf,26,0.3923832923832924,0.6076167076167076,0.5766046643257141
35,10,leaf,36,0.3894348894348894,0.6105651105651106,0.5754921436309814
25,10,leaf,43,0.3824324324324324,0.6175675675675676,0.5736397504806519
45,9,leaf,32,0.4044226044226044,0.5955773955773955,0.5722689032554626
81,7,leaf,20,0.4928746928746929,0.5071253071253071,0.5675672888755798
10,10,leaf,80,0.30773955773955775,0.6922604422604423,0.564575731754303
40,13,leaf,31,0.4187960687960688,0.5812039312039312,0.5604513883590698
40,10,leaf,34,0.3998771498771499,0.6001228501228502,0.5568429231643677
40,7,leaf,34,0.41818181818181815,0.5818181818181818,0.5522393584251404
45,7,leaf,31,0.41216216216216217,0.5878378378378378,0.5513139367103577
20,10,leaf,51,0.3531941031941032,0.6468058968058967,0.5498221516609192
40,8,leaf,33,0.41535626535626535,0.5846437346437346,0.5497381687164307
15,10,leaf,55,0.3441031941031941,0.6558968058968059,0.5488430261611938
35,7,leaf,40,0.41584766584766586,0.5841523341523341,0.5420874357223511
30,7,leaf,42,0.40872235872235874,0.5912776412776413,0.5418675541877747
20,7,leaf,57,0.3759213759213759,0.624078624078624,0.5359277129173279
81,5,leaf,19,0.5471744471744472,0.4528255528255528,0.5304318070411682
25,8,leaf,47,0.38525798525798527,0.6147420147420147,0.5285456776618958
35,5,leaf,42,0.43783783783783786,0.5621621621621622,0.5278320908546448
40,5,leaf,39,0.4574938574938575,0.5425061425061425,0.5275141596794128
30,6,leaf,46,0.43366093366093367,0.5663390663390664,0.5253055691719055
81,3,leaf,23,0.5465601965601966,0.4534398034398034,0.524591326713562
10,7,leaf,100,0.35085995085995086,0.6491400491400492,0.5237624049186707
45,5,leaf,36,0.4558968058968059,0.5441031941031941,0.5231208205223083
15,7,leaf,69,0.36523341523341524,0.6347665847665848,0.515885591506958
25,7,leaf,49,0.40577395577395575,0.5942260442260443,0.5157290101051331
20,6,leaf,60,0.40503685503685505,0.594963144963145,0.5105496048927307
30,5,leaf,52,0.41695331695331694,0.5830466830466831,0.507084846496582
25,5,leaf,56,0.41044226044226045,0.5895577395577396,0.5060855746269226
20,5,leaf,68,0.3998771498771499,0.6001228501228502,0.4990004599094391
15,5,leaf,81,0.41216216216216217,0.5878378378378378,0.4926750659942627
20,4,leaf,74,0.4183046683046683,0.5816953316953317,0.47892850637435913
10,5,leaf,126,0.392014742014742,0.607985257985258,0.47284653782844543
40,3,leaf,45,0.4767813267813268,0.5232186732186732,0.45778563618659973
35,3,leaf,52,0.4746928746928747,0.5253071253071253,0.4452541172504425
30,3,leaf,61,0.47714987714987717,0.5228501228501228,0.44481465220451355
25,3,leaf,69,0.4598280098280098,0.5401719901719901,0.44134944677352905
20,3,leaf,79,0.4651105651105651,0.5348894348894349,0.4349408447742462
45,3,leaf,40,0.5501228501228501,0.4498771498771499,0.43434008955955505
15,3,leaf,109,0.465970515970516,0.534029484029484,0.40264859795570374
10,3,leaf,166,0.5008599508599508,0.49914004914004917,0.3818138539791107
10,3,eom,2,1.0,0.0,0.3769521117210388
10,5,eom,2,1.0,0.0,0.3769521117210388
10,10,eom,2,1.0,0.0,0.3769521117210388
10,7,eom,2,1.0,0.0,0.3769521117210388
15,3,eom,2,1.0,0.0,0.3769521117210388
15,5,eom,2,1.0,0.0,0.3769521117210388
15,7,eom,2,1.0,0.0,0.3769521117210388
15,10,eom,2,1.0,0.0,0.3769521117210388
20,3,eom,2,1.0,0.0,0.3769521117210388
20,4,eom,2,1.0,0.0,0.3769521117210388
20,5,eom,2,1.0,0.0,0.3769521117210388
20,6,eom,2,1.0,0.0,0.3769521117210388
20,7,eom,2,1.0,0.0,0.3769521117210388
20,10,eom,2,1.0,0.0,0.3769521117210388
25,3,eom,2,1.0,0.0,0.3769521117210388
25,5,eom,2,1.0,0.0,0.3769521117210388
25,7,eom,2,1.0,0.0,0.3769521117210388
25,8,eom,2,1.0,0.0,0.3769521117210388
25,10,eom,2,1.0,0.0,0.3769521117210388
30,3,eom,2,1.0,0.0,0.3769521117210388
30,5,eom,2,1.0,0.0,0.3769521117210388
30,6,eom,2,1.0,0.0,0.3769521117210388
30,7,eom,2,1.0,0.0,0.3769521117210388
30,10,eom,2,1.0,0.0,0.3769521117210388
35,3,eom,2,1.0,0.0,0.3769521117210388
35,5,eom,2,1.0,0.0,0.3769521117210388
35,7,eom,2,1.0,0.0,0.3769521117210388
35,10,eom,2,1.0,0.0,0.3769521117210388
40,3,eom,2,1.0,0.0,0.3769521117210388
35,11,eom,2,1.0,0.0,0.3769521117210388
40,5,eom,2,1.0,0.0,0.3769521117210388
40,7,eom,2,1.0,0.0,0.3769521117210388
40,8,eom,2,1.0,0.0,0.3769521117210388
40,10,eom,2,1.0,0.0,0.3769521117210388
40,13,eom,2,1.0,0.0,0.3769521117210388
45,3,eom,2,1.0,0.0,0.3769521117210388
45,5,eom,2,1.0,0.0,0.3769521117210388
45,7,eom,2,1.0,0.0,0.3769521117210388
45,9,eom,2,1.0,0.0,0.3769521117210388
45,10,eom,2,1.0,0.0,0.3769521117210388
81,3,eom,2,1.0,0.0,0.3769521117210388
45,15,eom,2,1.0,0.0,0.3769521117210388
81,5,eom,2,1.0,0.0,0.3769521117210388
81,7,eom,2,1.0,0.0,0.3769521117210388
81,10,eom,2,1.0,0.0,0.3769521117210388
81,16,eom,2,1.0,0.0,0.3769521117210388
81,27,eom,2,1.0,0.0,0.3769521117210388
